chrom	start	end	GC
chr1	9500000	9600000	0.48579
chr1	9600000	9700000	0.51966
chr1	9700000	9800000	0.494
chr1	9800000	9900000	0.50398
chr1	9900000	10000000	0.46759
chr1	10000000	10100000	0.45387
chr1	10100000	10200000	0.44042
chr1	10200000	10300000	0.42193
chr1	10300000	10400000	0.43578
chr1	10400000	10500000	0.47522
chr1	10500000	10600000	0.43135
chr1	10600000	10700000	0.56837
chr1	10700000	10800000	0.54553
chr1	10800000	10900000	0.52039
chr1	10900000	11000000	0.51556
chr1	11000000	11100000	0.48261
chr1	11100000	11200000	0.45032
chr1	11200000	11300000	0.45528
chr1	11300000	11400000	0.51319
chr1	11400000	11500000	0.50852
chr1	11500000	11600000	0.5084
chr1	11600000	11700000	0.53323
chr1	11700000	11800000	0.53344
chr1	11800000	11900000	0.50288
chr1	11900000	12000000	0.51602
chr1	12000000	12100000	0.51513
chr1	12100000	12200000	0.52694
chr1	12200000	12300000	0.44911
chr1	12300000	12400000	0.41171
chr1	12400000	12500000	0.42747
chr1	12500000	12600000	0.50413
chr1	12600000	12700000	0.47085
chr1	12700000	12800000	0.44363
chr1	12800000	12900000	0.44435
chr1	12900000	13000000	0.4643645189761695
chr1	13000000	13100000	0.4551330321285141
chr1	13100000	13200000	0.45138
chr1	13200000	13300000	0.46355
chr1	13300000	13400000	0.46141
chr1	13400000	13500000	0.47877
chr1	13500000	13600000	0.47258
chr1	13600000	13700000	0.43546
chr1	13700000	13800000	0.41364
chr1	13800000	13900000	0.45771
chr1	13900000	14000000	0.43065
chr1	14000000	14100000	0.42228
chr1	14100000	14200000	0.43331
chr1	14200000	14300000	0.4138
chr1	14300000	14400000	0.41976
chr1	14400000	14500000	0.43149
chr1	14500000	14600000	0.44628
chr1	14600000	14700000	0.45667
chr1	14700000	14800000	0.47617
chr1	14800000	14900000	0.48175
chr1	14900000	15000000	0.51764
chr1	15000000	15100000	0.51412
chr1	15100000	15200000	0.4915
chr1	15200000	15300000	0.45744
chr1	15300000	15400000	0.48673
chr1	15400000	15500000	0.50694
chr1	15500000	15600000	0.46049
chr1	15600000	15700000	0.4517
chr1	15700000	15800000	0.53952
chr1	15800000	15900000	0.45232
chr1	15900000	16000000	0.47688
chr1	16000000	16100000	0.56588
chr1	16100000	16200000	0.54044
chr1	16200000	16300000	0.48681
chr1	16300000	16400000	0.46083
chr1	16400000	16500000	0.50243
chr1	16500000	16600000	0.44785
chr1	16600000	16700000	0.49281
chr1	16700000	16800000	0.48642134667164166
chr1	16800000	16900000	0.4559474398567972
chr1	16900000	17000000	0.55041
chr1	17000000	17100000	0.48779
chr1	17100000	17200000	0.48748
chr1	17200000	17300000	0.51251
chr1	17300000	17400000	0.499
chr1	17400000	17500000	0.49979
chr1	17500000	17600000	0.52183
chr1	17600000	17700000	0.55162
chr1	17700000	17800000	0.50831
chr1	17800000	17900000	0.481
chr1	17900000	18000000	0.47699
chr1	18000000	18100000	0.4876
chr1	18100000	18200000	0.50657
chr1	18200000	18300000	0.49324
chr1	18300000	18400000	0.49664
chr1	18400000	18500000	0.47425
chr1	18500000	18600000	0.47175
chr1	18600000	18700000	0.51275
chr1	18700000	18800000	0.4981
chr1	18800000	18900000	0.52548
chr1	18900000	19000000	0.50863
chr1	19000000	19100000	0.49696
chr1	19100000	19200000	0.42628
chr1	19200000	19300000	0.4723
chr1	19300000	19400000	0.52319
chr1	19400000	19500000	0.4749
chr1	19500000	19600000	0.45166
chr1	19600000	19700000	0.4954
chr1	19700000	19800000	0.48514
chr1	19800000	19900000	0.43625
chr1	19900000	20000000	0.45537
chr1	20000000	20100000	0.43051
chr1	20100000	20200000	0.49438
chr1	20200000	20300000	0.46558
chr1	20300000	20400000	0.4994
chr1	20400000	20500000	0.49581
chr1	20500000	20600000	0.47632
chr1	20600000	20700000	0.50046
chr1	20700000	20800000	0.47128
chr1	20800000	20900000	0.40054
chr1	20900000	21000000	0.37523
chr1	21000000	21100000	0.39588
chr1	21100000	21200000	0.4209
chr1	21200000	21300000	0.50787
chr1	21300000	21400000	0.5009
chr1	21400000	21500000	0.45516
chr1	21500000	21600000	0.52611
chr1	21600000	21700000	0.52665
chr1	21700000	21800000	0.42788
chr1	21800000	21900000	0.55329
chr1	21900000	22000000	0.51734
chr1	22000000	22100000	0.45212
chr1	22100000	22200000	0.51692
chr1	22200000	22300000	0.51893
chr1	22300000	22400000	0.4812
chr1	22400000	22500000	0.43101
chr1	22500000	22600000	0.52035
chr1	22600000	22700000	0.51243
chr1	22700000	22800000	0.51716
chr1	22800000	22900000	0.51864
chr1	22900000	23000000	0.47493
chr1	23000000	23100000	0.41496
chr1	23100000	23200000	0.43998
chr1	23200000	23300000	0.45161
chr1	23300000	23400000	0.43562
chr1	23400000	23500000	0.49313
chr1	23500000	23600000	0.49622
chr1	23600000	23700000	0.48395
chr1	23700000	23800000	0.47272
chr1	23800000	23900000	0.46582
chr1	23900000	24000000	0.45302
chr1	24000000	24100000	0.48211
chr1	24100000	24200000	0.49061
chr1	24200000	24300000	0.46864
chr1	24300000	24400000	0.47479
chr1	24400000	24500000	0.44282
chr1	24500000	24600000	0.45777
chr1	24600000	24700000	0.43848
chr1	24700000	24800000	0.45618
chr1	24800000	24900000	0.44283
chr1	24900000	25000000	0.53745
chr1	25000000	25100000	0.51576
chr1	25100000	25200000	0.46654
chr1	25200000	25300000	0.46105
chr1	25300000	25400000	0.45241
chr1	25400000	25500000	0.4289
chr1	25500000	25600000	0.51307
chr1	25600000	25700000	0.46701
chr1	25700000	25800000	0.50834
chr1	25800000	25900000	0.49417
chr1	25900000	26000000	0.46326
chr1	26000000	26100000	0.49969
chr1	26100000	26200000	0.48781
chr1	26200000	26300000	0.4864
chr1	26300000	26400000	0.50754
chr1	26400000	26500000	0.46528
chr1	26500000	26600000	0.5047
chr1	26600000	26700000	0.45291
chr1	26700000	26800000	0.45698
chr1	26800000	26900000	0.5065
chr1	26900000	27000000	0.49523
chr1	27000000	27100000	0.50514
chr1	27100000	27200000	0.49659
chr1	27200000	27300000	0.45265
chr1	27300000	27400000	0.53893
chr1	27400000	27500000	0.44915
chr1	27500000	27600000	0.54838
chr1	27600000	27700000	0.50024
chr1	27700000	27800000	0.43534
chr1	27800000	27900000	0.46769
chr1	27900000	28000000	0.46583
chr1	28000000	28100000	0.39091
chr1	28100000	28200000	0.47111
chr1	28200000	28300000	0.46066
chr1	28300000	28400000	0.45333
chr1	28400000	28500000	0.4235
chr1	28500000	28600000	0.49009
chr1	28600000	28700000	0.46612
chr1	28700000	28800000	0.45557
chr1	28800000	28900000	0.50231
chr1	28900000	29000000	0.41708
chr1	29000000	29100000	0.39845
chr1	29100000	29200000	0.47979
chr1	29200000	29300000	0.49667
chr1	29300000	29400000	0.49806
chr1	29400000	29500000	0.48231
chr1	29500000	29600000	0.4864834651110795
chr1	29600000	29700000	0.46756
chr1	29700000	29800000	0.47819
chr1	29800000	29900000	0.47503
chr1	29900000	30000000	0.47208
chr1	30000000	30100000	0.48951
chr1	30100000	30200000	0.47547
chr1	30200000	30300000	0.46907
chr1	30300000	30400000	0.4835
chr1	30400000	30500000	0.4796
chr1	30500000	30600000	0.45031
chr1	30600000	30700000	0.49778
chr1	30700000	30800000	0.5307
chr1	30800000	30900000	0.51132
chr1	30900000	31000000	0.43674
chr1	31000000	31100000	0.42906
chr1	31100000	31200000	0.48568
chr1	31200000	31300000	0.46271
chr1	31300000	31400000	0.44453
chr1	31400000	31500000	0.46089
chr1	31500000	31600000	0.47583
chr1	31600000	31700000	0.5206
chr1	31700000	31800000	0.55803
chr1	31800000	31900000	0.44941
chr1	31900000	32000000	0.44489
chr1	32000000	32100000	0.46129
chr1	32100000	32200000	0.4588
chr1	32200000	32300000	0.50871
chr1	32300000	32400000	0.4947
chr1	32400000	32500000	0.45299
chr1	32500000	32600000	0.44468
chr1	32600000	32700000	0.44486
chr1	32700000	32800000	0.5145
chr1	32800000	32900000	0.4757
chr1	32900000	33000000	0.4729
chr1	33000000	33100000	0.4684
chr1	33100000	33200000	0.47436
chr1	33200000	33300000	0.46658
chr1	33300000	33400000	0.48676
chr1	33400000	33500000	0.43177
chr1	33500000	33600000	0.43987
chr1	33600000	33700000	0.4578
chr1	33700000	33800000	0.44805
chr1	33800000	33900000	0.44612
chr1	33900000	34000000	0.47004
chr1	34000000	34100000	0.44482
chr1	34100000	34200000	0.46505
chr1	34200000	34300000	0.43273
chr1	34300000	34400000	0.41637
chr1	34400000	34500000	0.44799
chr1	34500000	34600000	0.42265
chr1	34600000	34700000	0.45224
chr1	34700000	34800000	0.4922
chr1	34800000	34900000	0.45893
chr1	34900000	35000000	0.4471
chr1	35000000	35100000	0.4149
chr1	35100000	35200000	0.42985
chr1	35200000	35300000	0.41873
chr1	35300000	35400000	0.38043
chr1	35400000	35500000	0.41946
chr1	35500000	35600000	0.45772
chr1	35600000	35700000	0.4362
chr1	35700000	35800000	0.4481
chr1	35800000	35900000	0.43398
chr1	35900000	36000000	0.39963
chr1	36000000	36100000	0.43002
chr1	36100000	36200000	0.52509
chr1	36200000	36300000	0.4468
chr1	36300000	36400000	0.51854
chr1	36400000	36500000	0.47713
chr1	36500000	36600000	0.48909
chr1	36600000	36700000	0.48129
chr1	36700000	36800000	0.48524
chr1	36800000	36900000	0.49233
chr1	36900000	37000000	0.49946
chr1	37000000	37100000	0.49776
chr1	37100000	37200000	0.4504
chr1	37200000	37300000	0.45097
chr1	37300000	37400000	0.47828
chr1	37400000	37500000	0.49129
chr1	37500000	37600000	0.44646
chr1	37600000	37700000	0.49725
chr1	37700000	37800000	0.48963
chr1	37800000	37900000	0.45485
chr1	37900000	38000000	0.47215
chr1	38000000	38100000	0.51083
chr1	38100000	38200000	0.48
chr1	38200000	38300000	0.47919
chr1	38300000	38400000	0.41453
chr1	38400000	38500000	0.42464
chr1	38500000	38600000	0.44987
chr1	38600000	38700000	0.44525
chr1	38700000	38800000	0.44738
chr1	38800000	38900000	0.44105
chr1	38900000	39000000	0.45464
chr1	39000000	39100000	0.46514
chr1	39100000	39200000	0.43394
chr1	39200000	39300000	0.42014
chr1	39300000	39400000	0.41393
chr1	39400000	39500000	0.43802
chr1	39500000	39600000	0.49043
chr1	39600000	39700000	0.50601
chr1	39700000	39800000	0.47943
chr1	39800000	39900000	0.44665
chr1	39900000	40000000	0.48911
chr1	40000000	40100000	0.43179
chr1	40100000	40200000	0.40507
chr1	40200000	40300000	0.41239
chr1	40300000	40400000	0.45612
chr1	40400000	40500000	0.41395
chr1	40500000	40600000	0.42278
chr1	40600000	40700000	0.47396
chr1	40700000	40800000	0.4573
chr1	40800000	40900000	0.51032
chr1	40900000	41000000	0.45685
chr1	41000000	41100000	0.43822
chr1	41100000	41200000	0.38127
chr1	41200000	41300000	0.43035
chr1	41300000	41400000	0.50104
chr1	41400000	41500000	0.52728
chr1	41500000	41600000	0.51066
chr1	41600000	41700000	0.48174
chr1	41700000	41800000	0.48289
chr1	41800000	41900000	0.45908
chr1	41900000	42000000	0.4126
chr1	42000000	42100000	0.39905
chr1	42100000	42200000	0.44439
chr1	42200000	42300000	0.38072
chr1	42300000	42400000	0.41646
chr1	42400000	42500000	0.41229
chr1	42500000	42600000	0.39096
chr1	42600000	42700000	0.41675
chr1	42700000	42800000	0.47202
chr1	42800000	42900000	0.42712
chr1	42900000	43000000	0.4847
chr1	43000000	43100000	0.46725
chr1	43100000	43200000	0.42094
chr1	43200000	43300000	0.47185
chr1	43300000	43400000	0.49253
chr1	43400000	43500000	0.46908
chr1	43500000	43600000	0.53568
chr1	43600000	43700000	0.49026
chr1	43700000	43800000	0.42388
chr1	43800000	43900000	0.44674
chr1	43900000	44000000	0.53132
chr1	44000000	44100000	0.48156
chr1	44100000	44200000	0.42671
chr1	44200000	44300000	0.48402
chr1	44300000	44400000	0.45017
chr1	44400000	44500000	0.43241
chr1	44500000	44600000	0.48282
chr1	44600000	44700000	0.50023
chr1	44700000	44800000	0.48714
chr1	44800000	44900000	0.48929
chr1	44900000	45000000	0.41943
chr1	45000000	45100000	0.43697
chr1	45100000	45200000	0.3947
chr1	45200000	45300000	0.42729
chr1	45300000	45400000	0.4548
chr1	45400000	45500000	0.4227
chr1	45500000	45600000	0.46709
chr1	45600000	45700000	0.4247
chr1	45700000	45800000	0.43238
chr1	45800000	45900000	0.39851
chr1	45900000	46000000	0.40411
chr1	46000000	46100000	0.43016
chr1	46100000	46200000	0.45985
chr1	46200000	46300000	0.47227
chr1	46300000	46400000	0.46798
chr1	46400000	46500000	0.53741
chr1	46500000	46600000	0.50275
chr1	46600000	46700000	0.43931
chr1	46700000	46800000	0.4169
chr1	46800000	46900000	0.41939
chr1	46900000	47000000	0.42193
chr1	47000000	47100000	0.3973
chr1	47100000	47200000	0.44263
chr1	47200000	47300000	0.44375
chr1	47300000	47400000	0.43247
chr1	47400000	47500000	0.48913
chr1	47500000	47600000	0.48251
chr1	47600000	47700000	0.46082
chr1	47700000	47800000	0.4968
chr1	47800000	47900000	0.48508
chr1	47900000	48000000	0.47589
chr1	48000000	48100000	0.45264
chr1	48100000	48200000	0.39748
chr1	48200000	48300000	0.43351
chr1	48300000	48400000	0.36779
chr1	48400000	48500000	0.38729
chr1	48500000	48600000	0.43249
chr1	48600000	48700000	0.44789
chr1	48700000	48800000	0.43388
chr1	48800000	48900000	0.40281
chr1	48900000	49000000	0.39605
chr1	49000000	49100000	0.39602
chr1	49100000	49200000	0.38432
chr1	49200000	49300000	0.37802
chr1	49300000	49400000	0.37851
chr1	49400000	49500000	0.36674
chr1	49500000	49600000	0.38661
chr1	49600000	49700000	0.36408
chr1	49700000	49800000	0.36
chr1	49800000	49900000	0.37325
chr1	49900000	50000000	0.36944
chr1	50000000	50100000	0.39059
chr1	50100000	50200000	0.40325
chr1	50200000	50300000	0.4398
chr1	50300000	50400000	0.43967
chr1	50400000	50500000	0.42161
chr1	50500000	50600000	0.37163
chr1	50600000	50700000	0.38692
chr1	50700000	50800000	0.38584
chr1	50800000	50900000	0.36836
chr1	50900000	51000000	0.3986
chr1	51000000	51100000	0.39359
chr1	51100000	51200000	0.39674
chr1	51200000	51300000	0.43796
chr1	51300000	51400000	0.45065
chr1	51400000	51500000	0.37495
chr1	51500000	51600000	0.42381
chr1	51600000	51700000	0.39804
chr1	51700000	51800000	0.39325
chr1	51800000	51900000	0.39465
chr1	51900000	52000000	0.44715
chr1	52000000	52100000	0.42916
chr1	52100000	52200000	0.42327
chr1	52200000	52300000	0.39526
chr1	52300000	52400000	0.45078
chr1	52400000	52500000	0.38537
chr1	52500000	52600000	0.41355
chr1	52600000	52700000	0.46301
chr1	52700000	52800000	0.42651
chr1	52800000	52900000	0.42932
chr1	52900000	53000000	0.41903
chr1	53000000	53100000	0.46692
chr1	53100000	53200000	0.48043
chr1	53200000	53300000	0.4715
chr1	53300000	53400000	0.50785
chr1	53400000	53500000	0.47226
chr1	53500000	53600000	0.53477
chr1	53600000	53700000	0.49923
chr1	53700000	53800000	0.44034
chr1	53800000	53900000	0.42709
chr1	53900000	54000000	0.42925
chr1	54000000	54100000	0.43186
chr1	54100000	54200000	0.49533
chr1	54200000	54300000	0.51616
chr1	54300000	54400000	0.49747
chr1	54400000	54500000	0.50076
chr1	54500000	54600000	0.49532
chr1	54600000	54700000	0.49112
chr1	54700000	54800000	0.48284
chr1	54800000	54900000	0.47144
chr1	54900000	55000000	0.46707
chr1	55000000	55100000	0.47869
chr1	55100000	55200000	0.36884
chr1	55200000	55300000	0.42043
chr1	55300000	55400000	0.43553
chr1	55400000	55500000	0.41462
chr1	55500000	55600000	0.42441
chr1	55600000	55700000	0.39309
chr1	55700000	55800000	0.40668
chr1	55800000	55900000	0.39662
chr1	55900000	56000000	0.38593
chr1	56000000	56100000	0.39704
chr1	56100000	56200000	0.38862
chr1	56200000	56300000	0.39623
chr1	56300000	56400000	0.40593
chr1	56400000	56500000	0.43894
chr1	56500000	56600000	0.42277
chr1	56600000	56700000	0.38051
chr1	56700000	56800000	0.37198
chr1	56800000	56900000	0.41756
chr1	56900000	57000000	0.42479
chr1	57000000	57100000	0.42365
chr1	57100000	57200000	0.40461
chr1	57200000	57300000	0.40569
chr1	57300000	57400000	0.41264
chr1	57400000	57500000	0.39681
chr1	57500000	57600000	0.4081
chr1	57600000	57700000	0.39902
chr1	57700000	57800000	0.39333
chr1	57800000	57900000	0.40549
chr1	57900000	58000000	0.41173
chr1	58000000	58100000	0.42097
chr1	58100000	58200000	0.4114
chr1	58200000	58300000	0.41496
chr1	58300000	58400000	0.41698
chr1	58400000	58500000	0.42374
chr1	58500000	58600000	0.39925
chr1	58600000	58700000	0.39691
chr1	58700000	58800000	0.42157
chr1	58800000	58900000	0.43453
chr1	58900000	59000000	0.42988
chr1	59000000	59100000	0.42827
chr1	59100000	59200000	0.41129
chr1	59200000	59300000	0.4064
chr1	59300000	59400000	0.39706
chr1	59400000	59500000	0.40205
chr1	59500000	59600000	0.40921
chr1	59600000	59700000	0.40777
chr1	59700000	59800000	0.39915
chr1	59800000	59900000	0.3643
chr1	59900000	60000000	0.40359
chr1	60000000	60100000	0.37869
chr1	60100000	60200000	0.37737
chr1	60200000	60300000	0.37624
chr1	60300000	60400000	0.37204
chr1	60400000	60500000	0.37968
chr1	60500000	60600000	0.37004
chr1	60600000	60700000	0.39224
chr1	60700000	60800000	0.3927
chr1	60800000	60900000	0.39103
chr1	60900000	61000000	0.42879
chr1	61000000	61100000	0.41879
chr1	61100000	61200000	0.38887
chr1	61200000	61300000	0.37384
chr1	61300000	61400000	0.39611
chr1	61400000	61500000	0.40908
chr1	61500000	61600000	0.40404
chr1	61600000	61700000	0.40732
chr1	61700000	61800000	0.41702
chr1	61800000	61900000	0.39234
chr1	61900000	62000000	0.39123
chr1	62000000	62100000	0.40854
chr1	62100000	62200000	0.44328
chr1	62200000	62300000	0.46167
chr1	62300000	62400000	0.45541
chr1	62400000	62500000	0.39717
chr1	62500000	62600000	0.3543
chr1	62600000	62700000	0.37001
chr1	62700000	62800000	0.40405
chr1	62800000	62900000	0.35974
chr1	62900000	63000000	0.41615
chr1	63000000	63100000	0.41325
chr1	63100000	63200000	0.38331
chr1	63200000	63300000	0.39081
chr1	63300000	63400000	0.43083
chr1	63400000	63500000	0.36858
chr1	63500000	63600000	0.36854
chr1	63600000	63700000	0.43266
chr1	63700000	63800000	0.42986
chr1	63800000	63900000	0.40543
chr1	63900000	64000000	0.4122
chr1	64000000	64100000	0.40407
chr1	64100000	64200000	0.41275
chr1	64200000	64300000	0.39173
chr1	64300000	64400000	0.41986
chr1	64400000	64500000	0.41378
chr1	64500000	64600000	0.39078
chr1	64600000	64700000	0.40553
chr1	64700000	64800000	0.38991
chr1	64800000	64900000	0.42
chr1	64900000	65000000	0.41425
chr1	65000000	65100000	0.42503
chr1	65100000	65200000	0.4379
chr1	65200000	65300000	0.40731
chr1	65300000	65400000	0.39754
chr1	65400000	65500000	0.39174
chr1	65500000	65600000	0.38013
chr1	65600000	65700000	0.37285
chr1	65700000	65800000	0.3812
chr1	65800000	65900000	0.36224
chr1	65900000	66000000	0.36924
chr1	66000000	66100000	0.36104
chr1	66100000	66200000	0.37412
chr1	66200000	66300000	0.39113
chr1	66300000	66400000	0.3906
chr1	66400000	66500000	0.39458
chr1	66500000	66600000	0.38157
chr1	66600000	66700000	0.38375
chr1	66700000	66800000	0.36753
chr1	66800000	66900000	0.36112
chr1	66900000	67000000	0.37085
chr1	67000000	67100000	0.38705
chr1	67100000	67200000	0.39293
chr1	67200000	67300000	0.40182
chr1	67300000	67400000	0.41333
chr1	67400000	67500000	0.42062
chr1	67500000	67600000	0.43877
chr1	67600000	67700000	0.41672
chr1	67700000	67800000	0.41891
chr1	67800000	67900000	0.40665
chr1	67900000	68000000	0.39322
chr1	68000000	68100000	0.39064
chr1	68100000	68200000	0.42101
chr1	68200000	68300000	0.40574
chr1	68300000	68400000	0.40981
chr1	68400000	68500000	0.36922
chr1	68500000	68600000	0.35964
chr1	68600000	68700000	0.36138
chr1	68700000	68800000	0.37881
chr1	68800000	68900000	0.38388
chr1	68900000	69000000	0.38785
chr1	69000000	69100000	0.36715
chr1	69100000	69200000	0.36494
chr1	69200000	69300000	0.36837
chr1	69300000	69400000	0.37345
chr1	69400000	69500000	0.36623
chr1	69500000	69600000	0.36114
chr1	69600000	69700000	0.34637
chr1	69700000	69800000	0.35285
chr1	69800000	69900000	0.34832
chr1	69900000	70000000	0.36876
chr1	70000000	70100000	0.34853
chr1	70100000	70200000	0.35314
chr1	70200000	70300000	0.37498
chr1	70300000	70400000	0.39677
chr1	70400000	70500000	0.39422
chr1	70500000	70600000	0.38174
chr1	70600000	70700000	0.37107
chr1	70700000	70800000	0.37882
chr1	70800000	70900000	0.3836
chr1	70900000	71000000	0.37818
chr1	71000000	71100000	0.37568
chr1	71100000	71200000	0.37608
chr1	71200000	71300000	0.36611
chr1	71300000	71400000	0.36577
chr1	71400000	71500000	0.3531
chr1	71500000	71600000	0.3626
chr1	71600000	71700000	0.35313
chr1	71700000	71800000	0.35987
chr1	71800000	71900000	0.35995
chr1	71900000	72000000	0.34378
chr1	72000000	72100000	0.33872
chr1	72100000	72200000	0.33535
chr1	72200000	72300000	0.33891
chr1	72300000	72400000	0.35473
chr1	72400000	72500000	0.35244
chr1	72500000	72600000	0.35093
chr1	72600000	72700000	0.3499
chr1	72700000	72800000	0.34617
chr1	72800000	72900000	0.35479
chr1	72900000	73000000	0.35459
chr1	73000000	73100000	0.34485
chr1	73100000	73200000	0.36633
chr1	73200000	73300000	0.34149
chr1	73300000	73400000	0.34354
chr1	73400000	73500000	0.34993
chr1	73500000	73600000	0.34586
chr1	73600000	73700000	0.36024
chr1	73700000	73800000	0.35506
chr1	73800000	73900000	0.35819
chr1	73900000	74000000	0.35374
chr1	74000000	74100000	0.3532
chr1	74100000	74200000	0.33627
chr1	74200000	74300000	0.34798
chr1	74300000	74400000	0.36908
chr1	74400000	74500000	0.36774
chr1	74500000	74600000	0.37984
chr1	74600000	74700000	0.36984
chr1	74700000	74800000	0.38099
chr1	74800000	74900000	0.36672
chr1	74900000	75000000	0.37308
chr1	75000000	75100000	0.36359
chr1	75100000	75200000	0.38941
chr1	75200000	75300000	0.36423
chr1	75300000	75400000	0.37361
chr1	75400000	75500000	0.37765
chr1	75500000	75600000	0.36486
chr1	75600000	75700000	0.38876
chr1	75700000	75800000	0.39855
chr1	75800000	75900000	0.37096
chr1	75900000	76000000	0.37079
chr1	76000000	76100000	0.39157
chr1	76100000	76200000	0.41543
chr1	76200000	76300000	0.39243
chr1	76300000	76400000	0.37907
chr1	76400000	76500000	0.37689
chr1	76500000	76600000	0.37429
chr1	76600000	76700000	0.383
chr1	76700000	76800000	0.3836
chr1	76800000	76900000	0.39195
chr1	76900000	77000000	0.37954
chr1	77000000	77100000	0.40525
chr1	77100000	77200000	0.36075
chr1	77200000	77300000	0.37507
chr1	77300000	77400000	0.37653
chr1	77400000	77500000	0.39757
chr1	77500000	77600000	0.40291
chr1	77600000	77700000	0.38711
chr1	77700000	77800000	0.40012
chr1	77800000	77900000	0.39844
chr1	77900000	78000000	0.3781
chr1	78000000	78100000	0.38274
chr1	78100000	78200000	0.39161
chr1	78200000	78300000	0.39621
chr1	78300000	78400000	0.37399
chr1	78400000	78500000	0.3758
chr1	78500000	78600000	0.36211
chr1	78600000	78700000	0.36695
chr1	78700000	78800000	0.36036
chr1	78800000	78900000	0.3719
chr1	78900000	79000000	0.34122
chr1	79000000	79100000	0.35282
chr1	79100000	79200000	0.35583
chr1	79200000	79300000	0.36248
chr1	79300000	79400000	0.34922
chr1	79400000	79500000	0.36537
chr1	79500000	79600000	0.35306
chr1	79600000	79700000	0.3611
chr1	79700000	79800000	0.34564
chr1	79800000	79900000	0.36045
chr1	79900000	80000000	0.36344
chr1	80000000	80100000	0.34746
chr1	80100000	80200000	0.35871
chr1	80200000	80300000	0.35813
chr1	80300000	80400000	0.34557
chr1	80400000	80500000	0.34434
chr1	80500000	80600000	0.34141
chr1	80600000	80700000	0.35245
chr1	80700000	80800000	0.35473
chr1	80800000	80900000	0.33979
chr1	80900000	81000000	0.36176
chr1	81000000	81100000	0.35552
chr1	81100000	81200000	0.36915
chr1	81200000	81300000	0.36437
chr1	81300000	81400000	0.36567
chr1	81400000	81500000	0.37551
chr1	81500000	81600000	0.38471
chr1	81600000	81700000	0.39194
chr1	81700000	81800000	0.36815
chr1	81800000	81900000	0.35067
chr1	81900000	82000000	0.33857
chr1	82000000	82100000	0.38542
